Cast PK,Cruise,Station,Station Longitude,Station Latitude,Latitude,Longitude,Distance from station,Location Flag,Bottom depth (m),Raw Data PK,Data PK,Cast Direction Flag,Measurement time,Depth (m),Depth flag,Drop speed (m/s),Conductivity (mS/cm),Conductivity flag,Temperature (deg C),Temperature flag,Pressure (dbar),Pressure flag,Uncorrected Pressure (dbar),PAR (umol m-2 s-1),PAR flag,Fluorometry Chlorophyll (ug/L),Fluorometry Chlorophyll flag,CDOM (ppb),CDOM flag,Turbidity (FTU),Turbidity flag,pH,pH flag,Backscatter (Beta),Backscatter flag,Dissolved O2 (mL/L),Dissolved O2 (mL/L) flag,Dissolved O2 (%),Dissolved O2 (%) flag,Dissolved O2 (umol/L),Dissolved O2 (umol/L) flag,SB RINKO Dissolved O2 (mL/L),SB RINKO Dissolved O2 flag,Salinity (PSU),Salinity flag,Specific conductivity,Specific conductivity flag,Speed of sound (m/s),Speed of sound flag,C Star (volts),C Star (volts) flag,C Star (counts),C Star (counts) flag,Beam Attenuation 650nm (1/m),Beam Attenuation flag,SB RINKO DO (volts),SB RINKO temp (volts),Backscatter (counts),Fluorometry Chlorophyll (counts),CDOM (counts),Bin Statistics for Static Casts
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848138,d,2015-01-06 09:35:46.750,0.969,,1.018,27.41173,,7.0217,,1,,,1.61,SVC: par_flag_level_1; SVC: par_shadow_test,0.8687,,,,8.732,,,,,,6.988,,,,,,,,26.4553,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848139,d,2015-01-06 09:35:47.667,1.985,,1.176,27.45141,,7.0419,,2,,,17.412,SVC: par_flag_level_1; SVC: par_shadow_test,0.8056,,,,0.942,,,,,,6.9769,,,,,,,,26.4816,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848140,d,2015-01-06 09:35:48.500,3.034,,1.292,27.56152,,7.0806,,3,,,17.346,SVC: par_flag_level_1; SVC: par_shadow_test,0.7749,,,,0.852,,,,,,6.9751,,,,,,,,26.5683,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848141,d,2015-01-06 09:35:49.250,3.982,,1.226,27.6729,,7.1197,,4,,,18.378,,0.7629,,,,0.442,,,,,,6.975,,,,,,,,26.656,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848142,d,2015-01-06 09:35:50.000,4.894,,1.256,27.76289,,7.1506,,5,,,17.883,,0.7468,,,,0.459,,,,,,6.9741,,,,,,,,26.7271,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848143,d,2015-01-06 09:35:50.834,5.964,,1.287,27.82336,,7.1591,,6,,,17.176,,0.672,,,,0.446,,,,,,6.9697,,,,,,,,26.7842,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848144,d,2015-01-06 09:35:51.584,6.931,,1.301,27.88239,,7.1737,,7,,,16.295,,0.6679,,,,0.557,,,,,,6.9667,,,,,,,,26.835,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848145,d,2015-01-06 09:35:52.333,7.9,,1.265,27.90694,,7.1748,,8,,,15.799,,0.6596,,,,0.436,,,,,,6.9672,,,,,,,,26.8598,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848146,d,2015-01-06 09:35:53.167,8.968,,1.305,27.92204,,7.179,,9,,,15.125,,0.6568,,,,0.429,,,,,,6.9644,,,,,,,,26.8721,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848147,d,2015-01-06 09:35:54.000,10.019,,1.198,27.96876,,7.1961,,10,,,14.362,,0.6598,,,,0.425,,,,,,6.9399,,,,,,,,26.9079,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848148,d,2015-01-06 09:35:54.750,10.925,,1.288,28.06485,,7.2187,,11,,,13.737,,0.6465,,,,0.418,,,,,,6.8882,,,,,,,,26.9917,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848149,d,2015-01-06 09:35:55.500,11.911,,1.297,28.13159,,7.2112,,12,,,13.054,,0.645,,,,0.408,,,,,,6.8014,,,,,,,,27.068,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848150,d,2015-01-06 09:35:56.250,12.886,,1.313,28.33145,,7.3017,,13,,,12.231,,0.6589,,,,0.405,,,,,,6.6824,,,,,,,,27.2083,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848151,d,2015-01-06 09:35:57.000,13.865,,1.289,28.42363,,7.3639,,14,,,11.471,,0.6058,,,,0.396,,,,,,6.5296,,,,,,,,27.2565,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848152,d,2015-01-06 09:35:57.750,14.832,,1.291,28.47131,,7.4055,,15,,,11.076,,0.6034,,,,0.402,,,,,,6.3493,,,,,,,,27.2738,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848153,d,2015-01-06 09:35:58.500,15.795,,1.281,28.6221,,7.5361,,16,,,10.512,,0.5683,,,,0.406,,,,,,6.1501,,,,,,,,27.3295,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848154,d,2015-01-06 09:35:59.333,16.853,,1.257,29.00889,,7.735,,17,,,10.071,,0.5337,,,,0.416,,,,,,5.9371,,,,,,,,27.5787,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848155,d,2015-01-06 09:36:00.167,17.894,,1.258,29.26097,,7.9146,,18,,,9.529,,0.4844,,,,0.425,,,,,,5.7645,,,,,,,,27.6999,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848156,d,2015-01-06 09:36:00.917,18.844,,1.272,29.65816,,8.1032,,19,,,8.96,,0.4257,,,,0.434,,,,,,5.6546,,,,,,,,27.9638,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848157,d,2015-01-06 09:36:01.667,19.798,,1.27,29.76613,,8.138,,20,,,8.347,,0.3748,,,,0.462,,,,,,5.5849,,,,,,,,28.048,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848158,d,2015-01-06 09:36:02.500,20.874,,1.307,29.80222,,8.1559,,21,,,7.695,,0.3569,,,,0.453,,,,,,5.5413,,,,,,,,28.0708,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848159,d,2015-01-06 09:36:03.250,21.85,,1.294,29.84549,,8.176,,22,,,6.48,,0.3474,,,,0.455,,,,,,5.5258,,,,,,,,28.0993,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848160,d,2015-01-06 09:36:04.000,22.819,,1.292,29.86371,,8.1829,,23,,,5.529,,0.3368,,,,0.461,,,,,,5.5234,,,,,,,,28.1123,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848161,d,2015-01-06 09:36:04.750,23.786,,1.279,29.86782,,8.1847,,24,,,-8.456,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3242,,,,0.463,,,,,,5.5202,,,,,,,,28.1147,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848162,d,2015-01-06 09:36:05.500,24.738,,1.263,29.87134,,8.1854,,25,,,-18.457,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.306,,,,0.46,,,,,,5.5052,,,,,,,,28.1174,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848163,d,2015-01-06 09:36:06.333,25.792,,1.259,29.89459,,8.1876,,26,,,-18.262,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3123,,,,0.462,,,,,,5.4803,,,,,,,,28.1394,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848164,d,2015-01-06 09:36:07.167,26.83,,1.241,29.93278,,8.1937,,27,,,-18.206,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3154,,,,0.454,,,,,,5.4625,,,,,,,,28.1738,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848165,d,2015-01-06 09:36:07.917,27.759,,1.241,29.96795,,8.2155,,28,,,-15.234,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3248,,,,0.452,,,,,,5.4587,,,,,,,,28.1925,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848166,d,2015-01-06 09:36:08.667,28.673,,1.185,30.0044,,8.2377,,29,,,-15.111,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.316,,,,0.467,,,,,,5.4614,,,,,,,,28.2121,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848167,d,2015-01-06 09:36:09.500,29.661,,1.216,30.03236,,8.2467,,30,,,-14.686,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2911,,,,0.461,,,,,,5.4631,,,,,,,,28.2335,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848168,d,2015-01-06 09:36:10.333,30.685,,1.228,30.08286,,8.263,,31,,,-12.502,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.312,,,,0.468,,,,,,5.4594,,,,,,,,28.2725,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848169,d,2015-01-06 09:36:11.167,31.711,,1.226,30.11753,,8.2806,,32,,,-11.981,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.314,,,,0.453,,,,,,5.4508,,,,,,,,28.2938,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848170,d,2015-01-06 09:36:12.000,32.711,,1.19,30.13348,,8.2958,,33,,,-11.616,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3127,,,,0.45,,,,,,5.4386,,,,,,,,28.2977,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848171,d,2015-01-06 09:36:12.834,33.724,,1.215,30.1562,,8.3138,,34,,,-11.452,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3161,,,,0.442,,,,,,5.4223,,,,,,,,28.3065,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848172,d,2015-01-06 09:36:13.667,34.713,,1.179,30.18586,,8.3232,,35,,,-11.676,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3158,,,,0.447,,,,,,5.4013,,,,,,,,28.3292,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848173,d,2015-01-06 09:36:14.500,35.705,,1.193,30.19874,,8.33,,36,,,-13.361,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3068,,,,0.446,,,,,,5.3776,,,,,,,,28.3367,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848174,d,2015-01-06 09:36:15.333,36.697,,1.203,30.20673,,8.3324,,37,,,-16.392,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3088,,,,0.447,,,,,,5.3501,,,,,,,,28.3426,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848175,d,2015-01-06 09:36:16.167,37.708,,1.195,30.23058,,8.3311,,38,,,-19.266,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.3006,,,,0.447,,,,,,5.312,,,,,,,,28.368,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848176,d,2015-01-06 09:36:17.000,38.686,,1.177,30.24659,,8.3313,,39,,,-20.184,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2984,,,,0.452,,,,,,5.2601,,,,,,,,28.384,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848177,d,2015-01-06 09:36:17.834,39.674,,1.188,30.28348,,8.3484,,40,,,-21.412,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2995,,,,0.455,,,,,,5.2013,,,,,,,,28.408,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848178,d,2015-01-06 09:36:18.667,40.677,,1.223,30.34973,,8.3874,,41,,,-21.293,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2938,,,,0.448,,,,,,5.1375,,,,,,,,28.4448,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848179,d,2015-01-06 09:36:19.500,41.667,,1.137,30.42966,,8.4238,,42,,,-22.285,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2732,,,,0.456,,,,,,5.0576,,,,,,,,28.4977,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848180,d,2015-01-06 09:36:20.333,42.631,,1.186,30.44781,,8.4351,,43,,,-21.751,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2723,,,,0.462,,,,,,4.9528,,,,,,,,28.507,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848181,d,2015-01-06 09:36:21.167,43.606,,1.176,30.4782,,8.4495,,44,,,-21.574,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2652,,,,0.468,,,,,,4.8333,,,,,,,,28.5263,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848182,d,2015-01-06 09:36:22.000,44.601,,1.179,30.51885,,8.4755,,45,,,-41.416,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2629,,,,0.467,,,,,,4.7201,,,,,,,,28.547,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848183,d,2015-01-06 09:36:22.834,45.551,,1.121,30.57868,,8.5125,,46,,,-60.766,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.2339,,,,0.481,,,,,,4.6272,,,,,,,,28.5784,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848184,d,2015-01-06 09:36:23.750,46.591,,1.135,30.6616,,8.5505,,47,,,-61.079,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.21,,,,0.5,,,,,,4.5522,,,,,,,,28.6329,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848185,d,2015-01-06 09:36:24.667,47.643,,1.172,30.72402,,8.576,,48,,,-58.731,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1948,,,,0.483,,,,,,4.4978,,,,,,,,28.6762,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848186,d,2015-01-06 09:36:25.500,48.622,,1.168,30.75637,,8.5863,,49,,,-57.862,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1791,,,,0.49,,,,,,4.458,,,,,,,,28.7008,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848187,d,2015-01-06 09:36:26.333,49.567,,1.119,30.77394,,8.5882,,50,,,-57.289,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1687,,,,0.492,,,,,,4.4204,,,,,,,,28.7169,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848188,d,2015-01-06 09:36:27.167,50.523,,1.173,30.79175,,8.5935,,51,,,-57.328,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1668,,,,0.489,,,,,,4.3817,,,,,,,,28.7306,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848189,d,2015-01-06 09:36:28.000,51.497,,1.153,30.84495,,8.6199,,52,,,-56.578,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1714,,,,0.481,,,,,,4.3405,,,,,,,,28.7636,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848190,d,2015-01-06 09:36:28.834,52.463,,1.17,30.90547,,8.6521,,53,,,-56.494,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1593,,,,0.486,,,,,,4.2951,,,,,,,,28.7994,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848191,d,2015-01-06 09:36:29.750,53.514,,1.13,30.96089,,8.6739,,54,,,-55.746,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1512,,,,0.475,,,,,,4.2368,,,,,,,,28.8383,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848192,d,2015-01-06 09:36:30.667,54.564,,1.16,31.02948,,8.694,,55,,,-54.89,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1518,,,,0.472,,,,,,4.1678,,,,,,,,28.8921,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848193,d,2015-01-06 09:36:31.500,55.519,,1.137,31.10287,,8.7224,,56,,,-54.092,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1467,,,,0.47,,,,,,4.1006,,,,,,,,28.944,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848194,d,2015-01-06 09:36:32.333,56.458,,1.112,31.29208,,8.7959,,57,,,-53.24,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1412,,,,0.514,,,,,,4.0396,,,,,,,,29.0781,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848195,d,2015-01-06 09:36:33.250,57.484,,1.122,31.48605,,8.9205,,58,,,-53.161,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1348,,,,0.494,,,,,,3.9892,,,,,,,,29.1746,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848196,d,2015-01-06 09:36:34.167,58.512,,1.128,31.60199,,8.9829,,59,,,-51.156,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1239,,,,0.471,,,,,,3.9573,,,,,,,,29.2417,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848197,d,2015-01-06 09:36:35.084,59.524,,1.059,31.62955,,8.9989,,60,,,-50.48,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1207,,,,0.465,,,,,,3.9421,,,,,,,,29.2563,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848198,d,2015-01-06 09:36:36.000,60.497,,1.1,31.64217,,9.0057,,61,,,-41.799,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1156,,,,0.458,,,,,,3.9376,,,,,,,,29.2633,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848199,d,2015-01-06 09:36:36.834,61.41,,1.101,31.68577,,9.0317,,62,,,-41.604,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.112,,,,0.475,,,,,,3.9362,,,,,,,,29.2861,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848200,d,2015-01-06 09:36:37.750,62.429,,1.064,31.81059,,9.1117,,63,,,-41.403,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1086,,,,0.47,,,,,,3.9321,,,,,,,,29.3474,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848201,d,2015-01-06 09:36:38.750,63.439,,1.02,31.94224,,9.1897,,64,,,-41.227,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1136,,,,0.461,,,,,,3.9241,,,,,,,,29.417,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848202,d,2015-01-06 09:36:39.667,64.411,,1.081,31.98435,,9.2179,,65,,,-41.197,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1215,,,,0.483,,,,,,3.9109,,,,,,,,29.4364,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848203,d,2015-01-06 09:36:40.584,65.395,,1.032,32.02174,,9.2376,,66,,,-40.346,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1284,,,,0.478,,,,,,3.8846,,,,,,,,29.4578,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848204,d,2015-01-06 09:36:41.583,66.41,,1.05,32.04083,,9.2467,,67,,,-39.541,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.124,,,,0.464,,,,,,3.84,,,,,,,,29.4693,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848205,d,2015-01-06 09:36:42.500,67.39,,1.077,32.1148,,9.2902,,68,,,-39.448,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1284,,,,0.475,,,,,,3.7906,,,,,,,,29.5083,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848206,d,2015-01-06 09:36:43.417,68.384,,1.086,32.20849,,9.3431,,69,,,-39.13,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1178,,,,0.476,,,,,,3.7422,,,,,,,,29.5595,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848207,d,2015-01-06 09:36:44.333,69.383,,1.092,32.27242,,9.3766,,70,,,-38.211,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1198,,,,0.472,,,,,,3.7004,,,,,,,,29.5963,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848208,d,2015-01-06 09:36:45.250,70.375,,1.071,32.30549,,9.392,,71,,,-37.661,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.11,,,,0.473,,,,,,3.6646,,,,,,,,29.6168,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848209,d,2015-01-06 09:36:46.250,71.428,,1.026,32.32969,,9.4025,,72,,,-37.071,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1046,,,,0.483,,,,,,3.6254,,,,,,,,29.6322,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848210,d,2015-01-06 09:36:47.167,72.38,,1.058,32.34391,,9.41,,73,,,-37.609,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.1018,,,,0.489,,,,,,3.5889,,,,,,,,29.64,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848211,d,2015-01-06 09:36:48.084,73.348,,1.062,32.40299,,9.439,,74,,,-37.429,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.102,,,,0.48,,,,,,3.5576,,,,,,,,29.6756,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848212,d,2015-01-06 09:36:49.083,74.405,,1.044,32.54733,,9.5005,,75,,,-38.181,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0981,,,,0.515,,,,,,3.5338,,,,,,,,29.7705,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848213,d,2015-01-06 09:36:50.000,75.352,,1.025,32.57197,,9.5129,,76,,,-37.258,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0956,,,,0.484,,,,,,3.5211,,,,,,,,29.7848,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848214,d,2015-01-06 09:36:50.917,76.287,,1.032,32.63229,,9.5458,,77,,,-37.736,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0938,,,,0.504,,,,,,3.5152,,,,,,,,29.8181,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848215,d,2015-01-06 09:36:51.917,77.343,,1.069,32.69075,,9.5792,,78,,,-38.302,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0855,,,,0.486,,,,,,3.5138,,,,,,,,29.8491,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848216,d,2015-01-06 09:36:52.834,78.308,,1.026,32.6855,,9.5748,,79,,,-38.345,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0883,,,,0.489,,,,,,3.5145,,,,,,,,29.847,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848217,d,2015-01-06 09:36:53.750,79.243,,1.017,32.69302,,9.5829,,80,,,-38.079,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0832,,,,0.481,,,,,,3.5148,,,,,,,,29.8476,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848218,d,2015-01-06 09:36:54.750,80.267,,1.043,32.70686,,9.5925,,81,,,-37.588,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0843,,,,0.47,,,,,,3.5137,,,,,,,,29.8531,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848219,d,2015-01-06 09:36:55.750,81.304,,1.011,32.70819,,9.5934,,82,,,-37.227,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0826,,,,0.468,,,,,,3.512,,,,,,,,29.8533,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848220,d,2015-01-06 09:36:56.750,82.304,,0.995,32.71401,,9.5964,,83,,,-37.387,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0818,,,,0.463,,,,,,3.5095,,,,,,,,29.8563,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848221,d,2015-01-06 09:36:57.750,83.303,,1.024,32.71969,,9.5987,,84,,,-37.214,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.083,,,,0.475,,,,,,3.5056,,,,,,,,29.8597,,,,,,,,,,,,,,,,,
6772,QUADS14,QU24,,,50.03,-125.08,,,237.6200046,,9848222,d,2015-01-06 09:36:58.667,84.246,,1.013,32.72536,,9.602,,85,,,-37.002,SVD: par_flag_level_1; SVD: par_qartod_gross_range_test,0.0855,,,,0.469,,,,,,3.5013,,,,,,,,29.8623,,,,,,,,,,,,,,,,,
